Gene Set Name;# Genes in Gene Set (K);Description;# Genes in Overlap (k);k/K;p-value;FDR q-value;Dataset;MetaName
REACTOME_MRNA_PROCESSING;161;mRNA Processing;7;0.0435;1.21E-05;7.46E-04;ND anticorr;Metabolism of RNA
REACTOME_MRNA_SPLICING;111;mRNA Splicing;6;0.0541;1.51E-05;8.66E-04;ND anticorr;Metabolism of RNA
REACTOME_MITOTIC_M_M_G1_PHASES;172;Mitotic M-M/G1 phases;7;0.0407;1.86E-05;9.97E-04;ND anticorr;Cell Cycle
REACTOME_GLUCONEOGENESIS;34;Gluconeogenesis;4;0.1176;1.97E-05;9.97E-04;ND anticorr;Metabolism
REACTOME_METABOLISM_OF_CARBOHYDRATES;247;Metabolism of carbohydrates;8;0.0324;2.45E-05;1.17E-03;ND anticorr;Metabolism
REACTOME_CELL_CYCLE_MITOTIC;325;Cell Cycle, Mitotic;9;0.0277;2.63E-05;1.19E-03;ND anticorr;Cell Cycle
KEGG_SPLICEOSOME;128;Spliceosome;6;0.0469;3.38E-05;1.46E-03;ND anticorr;Transcription
REACTOME_DNA_REPLICATION;192;DNA Replication;7;0.0365;3.77E-05;1.52E-03;ND anticorr;DNA Replication
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS;132;Host Interactions of HIV factors;6;0.0455;4.02E-05;1.52E-03;ND anticorr;Immune System
REACTOME_IMMUNE_SYSTEM;933;Immune System;15;0.0161;4.07E-05;1.52E-03;ND anticorr;Immune System
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS;84;Regulation of mRNA Stability by Proteins that Bind AU-rich Elements;5;0.0595;5.00E-05;1.79E-03;ND anticorr;Metabolism of RNA
REACTOME_MRNA_SPLICING_MINOR_PATHWAY;45;mRNA Splicing - Minor Pathway;4;0.0889;6.08E-05;2.07E-03;ND anticorr;Metabolism of RNA
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION;208;Platelet activation, signaling and aggregation;7;0.0337;6.25E-05;2.07E-03;ND anticorr;Hemostasis
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_;89;Response to elevated platelet cytosolic Ca2+;5;0.0562;6.60E-05;2.10E-03;ND anticorr;Hemostasis
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC;49;Regulation of ornithine decarboxylase (ODC);4;0.0816;8.52E-05;2.62E-03;ND anticorr;Metabolism
REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0;53;Destabilization of mRNA by AUF1 (hnRNP D0);4;0.0755;1.16E-04;3.44E-03;ND anticorr;Metabolism of RNA
REACTOME_RNA_POL_II_TRANSCRIPTION;105;RNA Polymerase II Transcription;5;0.0476;1.44E-04;4.14E-03;ND anticorr;Transcription
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT;58;Mitochondrial Protein Import;4;0.069;1.65E-04;4.44E-03;ND anticorr;Metabolism of proteins
REACTOME_REGULATION_OF_APOPTOSIS;58;Regulation of Apoptosis;4;0.069;1.65E-04;4.44E-03;ND anticorr;Programmed Cell Death
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION;24;Cytosolic tRNA aminoacylation;3;0.125;1.93E-04;5.02E-03;ND anticorr;Metabolism of proteins
KEGG_HUNTINGTONS_DISEASE;185;Huntington's disease;6;0.0324;2.57E-04;6.31E-03;ND anticorr;Disease
REACTOME_SIGNALING_BY_WNT;65;Signaling by Wnt;4;0.0615;2.57E-04;6.31E-03;ND anticorr;Signal Transduction
KEGG_PENTOSE_PHOSPHATE_PATHWAY;27;Pentose phosphate pathway;3;0.1111;2.76E-04;6.41E-03;ND anticorr;Metabolism
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT;27;Endosomal Sorting Complex Required For Transport (ESCRT);3;0.1111;2.76E-04;6.41E-03;ND anticorr;Vesicle-mediated transport
REACTOME_HEMOSTASIS;466;Hemostasis;9;0.0193;3.95E-04;8.93E-03;ND anticorr;Hemostasis
REACTOME_TRANSCRIPTION;210;Transcription;6;0.0286;5.03E-04;1.11E-02;ND anticorr;Transcription
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT;141;The citric acid (TCA) cycle and respiratory electron transport;5;0.0355;5.64E-04;1.21E-02;ND anticorr;Metabolism
REACTOME_IRON_UPTAKE_AND_TRANSPORT;36;Iron uptake and transport;3;0.0833;6.52E-04;1.37E-02;ND anticorr;Transport of small molecules
REACTOME_MITOTIC_PROMETAPHASE;87;Mitotic Prometaphase;4;0.046;7.79E-04;1.59E-02;ND anticorr;Cell Cycle
KEGG_PYRUVATE_METABOLISM;40;Pyruvate metabolism;3;0.075;8.90E-04;1.78E-02;ND anticorr;Metabolism
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION;91;MHC class II antigen presentation;4;0.044;9.21E-04;1.80E-02;ND anticorr;Immune System
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS;41;Aminoacyl-tRNA biosynthesis;3;0.0732;9.57E-04;1.83E-02;ND anticorr;Metabolism of proteins
REACTOME_METABOLISM_OF_RNA;330;Metabolism of RNA;7;0.0212;1.02E-03;1.88E-02;ND anticorr;Metabolism of RNA
REACTOME_TRNA_AMINOACYLATION;42;tRNA Aminoacylation;3;0.0714;1.03E-03;1.88E-02;ND anticorr;Metabolism of proteins
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS;11;SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs;2;0.1818;1.18E-03;2.02E-02;ND anticorr;Metabolism of RNA
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM;44;Amino sugar and nucleotide sugar metabolism;3;0.0682;1.18E-03;2.02E-02;ND anticorr;Carbohydrate metabolism
REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_;44;Cleavage of Growing Transcript in the Termination Region;3;0.0682;1.18E-03;2.02E-02;ND anticorr;Transcription
REACTOME_IMMUNE_SYSTEM;933;Immune System;17;0.0182;3.96E-06;1.33E-03;ND corr;Immune System
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION;251;Class I MHC mediated antigen processing & presentation;9;0.0359;4.50E-06;1.33E-03;ND corr;Immune System
KEGG_CELL_ADHESION_MOLECULES_CAMS;134;Cell adhesion molecules (CAMs);7;0.0522;4.62E-06;1.33E-03;ND corr;Signaling molecules and interaction
REACTOME_ADAPTIVE_IMMUNE_SYSTEM;539;Adaptive Immune System;12;0.0223;1.57E-05;3.37E-03;ND corr;Immune System
REACTOME_NEURONAL_SYSTEM;279;Neuronal System;8;0.0287;7.47E-05;1.09E-02;ND corr;Neuronal System
KEGG_TYPE_II_DIABETES_MELLITUS;47;Type II diabetes mellitus;4;0.0851;8.31E-05;1.09E-02;ND corr;Disease
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION;212;Antigen processing: Ubiquitination & Proteasome degradation;7;0.033;8.83E-05;1.09E-02;ND corr;Immune System
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS;51;Metabolism of vitamins and cofactors;4;0.0784;1.15E-04;1.23E-02;ND corr;Metabolism
REACTOME_DEVELOPMENTAL_BIOLOGY;396;Developmental Biology;9;0.0227;1.57E-04;1.50E-02;ND corr;Developmental Biology
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION;188;Post-translational protein modification;6;0.0319;3.40E-04;2.92E-02;ND corr;Metabolism of proteins
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT;30;Regulation of beta-cell development;3;0.1;4.21E-04;3.29E-02;ND corr;Developmental Biology
REACTOME_HEMOSTASIS;466;Hemostasis;9;0.0193;5.13E-04;3.54E-02;ND corr;Hemostasis
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION;76;Antigen processing-Cross presentation;4;0.0526;5.36E-04;3.54E-02;ND corr;Immune System
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA;140;Processing of Capped Intron-Containing Pre-mRNA;5;0.0357;6.43E-04;3.95E-02;ND corr;Metabolism of RNA
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT;38;SNARE interactions in vesicular transport;3;0.0789;8.50E-04;4.87E-02;ND corr;Vesicle-mediated transport
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS;132;Host Interactions of HIV factors;9;0.0682;2.07E-08;9.53E-06;T2D anticorr;Disease
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_;98;Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.;8;0.0816;3.14E-08;9.53E-06;T2D anticorr;Metabolism
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT;141;The citric acid (TCA) cycle and respiratory electron transport;9;0.0638;3.68E-08;9.53E-06;T2D anticorr;Metabolism
REACTOME_IMMUNE_SYSTEM;933;Immune System;20;0.0214;4.43E-08;9.53E-06;T2D anticorr;Immune System
REACTOME_APOPTOSIS;148;Apoptosis;9;0.0608;5.60E-08;9.62E-06;T2D anticorr;Programmed Cell Death
REACTOME_ADAPTIVE_IMMUNE_SYSTEM;539;Adaptive Immune System;15;0.0278;8.62E-08;9.62E-06;T2D anticorr;Immune System
REACTOME_HIV_INFECTION;207;HIV Infection;10;0.0483;8.93E-08;9.62E-06;T2D anticorr;Immune System
REACTOME_G1_S_TRANSITION;112;G1/S Transition;8;0.0714;8.95E-08;9.62E-06;T2D anticorr;Cell Cycle
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS;84;Regulation of mRNA Stability by Proteins that Bind AU-rich Elements;7;0.0833;2.02E-07;1.93E-05;T2D anticorr;Metabolism of RNA
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS;53;Golgi Associated Vesicle Biogenesis;6;0.1132;2.44E-07;2.10E-05;T2D anticorr;Vesicle-mediated transport
KEGG_OXIDATIVE_PHOSPHORYLATION;135;Oxidative phosphorylation;8;0.0593;3.79E-07;2.80E-05;T2D anticorr;Metabolism
REACTOME_REGULATION_OF_APOPTOSIS;58;Regulation of Apoptosis;6;0.1034;4.22E-07;2.80E-05;T2D anticorr;Programmed Cell Death
REACTOME_MITOTIC_G1_G1_S_PHASES;137;Mitotic G1-G1/S phases;8;0.0584;4.24E-07;2.80E-05;T2D anticorr;Cell Cycle
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING;60;trans-Golgi Network Vesicle Budding;6;0.1;5.17E-07;3.18E-05;T2D anticorr;Vesicle-mediated transport
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS;64;Activation of NF-kappaB in B Cells;6;0.0938;7.62E-07;3.99E-05;T2D anticorr;Immune System
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C;64;Autodegradation of Cdh1 by Cdh1:APC/C;6;0.0938;7.62E-07;3.99E-05;T2D anticorr;Cell Cycle
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_;65;Cyclin E associated events during G1/S transition;6;0.0923;8.36E-07;3.99E-05;T2D anticorr;Cell Cycle
REACTOME_SIGNALING_BY_WNT;65;Signaling by Wnt;6;0.0923;8.36E-07;3.99E-05;T2D anticorr;Signal Transduction
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION;212;Antigen processing: Ubiquitination & Proteasome degradation;9;0.0425;1.17E-06;5.30E-05;T2D anticorr;Immune System
REACTOME_CELL_CYCLE;421;Cell Cycle;12;0.0285;1.35E-06;5.81E-05;T2D anticorr;Cell Cycle
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1;72;APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1;6;0.0833;1.54E-06;6.29E-05;T2D anticorr;Cell Cycle
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS;73;APC/C:Cdc20 mediated degradation of mitotic proteins;6;0.0822;1.67E-06;6.52E-05;T2D anticorr;Cell Cycle
KEGG_ALZHEIMERS_DISEASE;169;Alzheimer's disease;8;0.0473;2.07E-06;7.73E-05;T2D anticorr;Disease
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT;79;Respiratory electron transport;6;0.0759;2.66E-06;9.52E-05;T2D anticorr;Metabolism
REACTOME_CELL_CYCLE_CHECKPOINTS;124;Cell Cycle Checkpoints;7;0.0565;2.84E-06;9.79E-05;T2D anticorr;Cell Cycle
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6;48;CDK-mediated phosphorylation and removal of Cdc6;5;0.1042;3.88E-06;1.24E-04;T2D anticorr;DNA Replication
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES;48;Cross-presentation of soluble exogenous antigens (endosomes);5;0.1042;3.88E-06;1.24E-04;T2D anticorr;Immune System
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE;85;Regulation of mitotic cell cycle;6;0.0706;4.08E-06;1.25E-04;T2D anticorr;Cell Cycle
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC;49;Regulation of ornithine decarboxylase (ODC);5;0.102;4.30E-06;1.28E-04;T2D anticorr;Metabolism
KEGG_PARKINSONS_DISEASE;133;Parkinson's disease;7;0.0526;4.53E-06;1.29E-04;T2D anticorr;Disease
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION;251;Class I MHC mediated antigen processing & presentation;9;0.0359;4.66E-06;1.29E-04;T2D anticorr;Immune System
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1;51;Autodegradation of the E3 ubiquitin ligase COP1;5;0.098;5.26E-06;1.31E-04;T2D anticorr;Cell Cycle
REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT;51;p53-Independent G1/S DNA damage checkpoint;5;0.098;5.26E-06;1.31E-04;T2D anticorr;Cell Cycle
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1;51;SCF-beta-TrCP mediated degradation of Emi1;5;0.098;5.26E-06;1.31E-04;T2D anticorr;Cell Cycle
REACTOME_CELL_CYCLE_MITOTIC;325;Cell Cycle, Mitotic;10;0.0308;5.34E-06;1.31E-04;T2D anticorr;Cell Cycle
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G;52;Vif-mediated degradation of APOBEC3G;5;0.0962;5.80E-06;1.38E-04;T2D anticorr;Disease
REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0;53;Destabilization of mRNA by AUF1 (hnRNP D0);5;0.0943;6.38E-06;1.48E-04;T2D anticorr;Metabolism of RNA
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX;56;CDT1 association with the CDC6:ORC:origin complex;5;0.0893;8.39E-06;1.85E-04;T2D anticorr;Cell Cycle
REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21;56;SCF(Skp2)-mediated degradation of p27/p21;5;0.0893;8.39E-06;1.85E-04;T2D anticorr;Immune System
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR;97;Downstream Signaling Events Of B Cell Receptor (BCR);6;0.0619;8.78E-06;1.89E-04;T2D anticorr;Immune System
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE;57;p53-Dependent G1 DNA Damage Response;5;0.0877;9.16E-06;1.92E-04;T2D anticorr;Cell Cycle
REACTOME_ER_PHAGOSOME_PATHWAY;61;ER-Phagosome pathway;5;0.082;1.28E-05;2.62E-04;T2D anticorr;Immune System
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION;10;Nef mediated downregulation of MHC class I complex cell surface expression;3;0.3;1.35E-05;2.71E-04;T2D anticorr;Immune System
REACTOME_S_PHASE;109;S Phase;6;0.055;1.71E-05;3.34E-04;T2D anticorr;Cell Cycle
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX;65;Assembly of the pre-replicative complex;5;0.0769;1.75E-05;3.34E-04;T2D anticorr;DNA Replication
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN;67;Orc1 removal from chromatin;5;0.0746;2.03E-05;3.79E-04;T2D anticorr;DNA Replication
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION;76;Antigen processing-Cross presentation;5;0.0658;3.75E-05;6.83E-04;T2D anticorr;Immune System
KEGG_HUNTINGTONS_DISEASE;185;Huntington's disease;7;0.0378;3.85E-05;6.83E-04;T2D anticorr;Disease
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR;126;Signaling by the B Cell Receptor (BCR);6;0.0476;3.89E-05;6.83E-04;T2D anticorr;Immune System
REACTOME_MEMBRANE_TRAFFICKING;129;Membrane Trafficking;6;0.0465;4.44E-05;7.63E-04;T2D anticorr;Vesicle-mediated transport
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE;26;Glycosaminoglycan biosynthesis - heparan sulfate;3;0.1154;6.55E-06;4.84E-03;T2D corr;Metabolism
REACTOME_HS_GAG_BIOSYNTHESIS;31;HS-GAG biosynthesis;3;0.0968;1.13E-05;4.84E-03;T2D corr;Metabolism
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM;52;Heparan sulfate/heparin (HS-GAG) metabolism;3;0.0577;5.42E-05;1.55E-02;T2D corr;Metabolism
